Image Name, Time, UTM Zone, Easting (m), Northing (m), Altitude (m), Relative Altitude (m), Roll (rad), Pitch (rad), Yaw (rad)
171.jpg, 1479401063.65, 17, 537415.796376, 537415.796376, 542.99, 14.48, 0.0322127144199, -0.00665201784861, 0.343319461821
172.jpg, 1479401064.0, 17, 537415.804727, 537415.804727, 543.006111994, 14.4961119941, 0.0323288313463, -0.00679522831796, 0.343280173469
173.jpg, 1479401064.38, 17, 537415.813501, 537415.813501, 543.003491035, 14.4934910349, 0.0324486143498, -0.0068603527041, 0.343185134476
174.jpg, 1479401064.78, 17, 537415.816448, 537415.816448, 542.99, 14.48, 0.0324589381551, -0.00687153283293, 0.343070104395
175.jpg, 1479401065.12, 17, 537415.828116, 537415.828116, 542.993418804, 14.4834188036, 0.0323844214411, -0.00693673008172, 0.342972440268
176.jpg, 1479401065.6, 17, 537415.837869, 537415.837869, 542.98742215, 14.4774221502, 0.0325667192802, -0.00709814671119, 0.34282352535
177.jpg, 1479401065.95, 17, 537415.844852, 537415.844852, 542.98, 14.47, 0.0326355010088, -0.00704578019552, 0.342681394467
178.jpg, 1479401066.3, 17, 537415.809439, 537415.809439, 542.98, 14.47, 0.0326732894906, -0.00704889233006, 0.342486030279
179.jpg, 1479401066.72, 17, 537415.795537, 537415.795537, 542.99, 14.48, 0.0329512799792, -0.00701539492052, 0.342368503359
180.jpg, 1479401067.11, 17, 537415.775498, 537415.775498, 543.0, 14.49, 0.033155830351, -0.00697080552928, 0.342213712334
181.jpg, 1479401067.49, 17, 537415.773379, 537415.773379, 543.01, 14.5, 0.0332683524645, -0.00697998261433, 0.342137859607
182.jpg, 1479401067.85, 17, 537415.80394, 537415.80394, 543.019706562, 14.5097065617, 0.0332861938332, -0.00693019818929, 0.342116371627
183.jpg, 1479401068.2, 17, 537415.822358, 537415.822358, 543.02, 14.51, 0.0335067591577, -0.00693219421494, 0.341886885254
184.jpg, 1479401068.6, 17, 537415.864717, 537415.864717, 543.03, 14.52, 0.0336157200293, -0.00691549018245, 0.34189118963
185.jpg, 1479401068.95, 17, 537415.867053, 537415.867053, 543.054923412, 14.5449234121, 0.033550391215, -0.00690314189249, 0.341760036467
186.jpg, 1479401069.33, 17, 537415.870005, 537415.870005, 543.05, 14.54, 0.0334685385629, -0.00687927923977, 0.341652202237
